content_id,source_origin,domain,name_cn,scene_candidate,interaction_candidate,audience_priority,claim_state,public_rule
CUL-012,SRC-ENS-COMP,INTANGIBLE_CULTURE,摆手舞,GENERAL,动作节奏/短视频内容,FAMILY|YOUTH|ADULT,CONTENT_RESERVOIR,不在狭窄或安全敏感路段触发
CUL-013,SRC-ENS-COMP,INTANGIBLE_CULTURE,傩戏,GENERAL,面具故事/角色卡,YOUTH|ADULT,CONTENT_RESERVOIR,避免恐怖化和脱离语境的符号消费
CUL-014,SRC-ENS-COMP,INTANGIBLE_CULTURE,女儿会,EXIT_MEMORY,相逢/祝福内容,YOUTH|ADULT,CONTENT_RESERVOIR,文化语境与权利需复核
CUL-015,SRC-ENS-COMP,INTANGIBLE_CULTURE,龙船调,BOAT|EXIT_MEMORY,声音寻迹/听歌线索,FAMILY|YOUTH|ADULT|OLDER,CONTENT_RESERVOIR,音乐版权与具体录音需另核
CUL-016,SRC-ENS-COMP,HISTORY,巴盐古道,REGIONAL_MAP,历史交通地图,YOUTH|ADULT|OLDER,SOURCE_MATERIAL,与当前红花峰林路线的空间关系需核验后绑定
CUL-017,SRC-ENS-COMP,HISTORY,红色历史线索,GENERAL,时间线/口述史入口,ADULT|OLDER,CONTENT_RESERVOIR,具体战斗地点与人物关联必须独立核验
CUL-018,SRC-ENS-COMP,FOOD,土家油茶汤与地方饮食,EXIT|SERVICE,味觉/服务推荐,FAMILY|ADULT|OLDER,CONTENT_RESERVOIR,不作为核心路线任务
CUL-019,SRC-ENS-COMP,MOBILITY,水陆空游览体系,ARRIVAL,BOAT/CABLE/WALK三种入口,ALL,SOURCE_MATERIAL,具体当日运营/票价/班次需实时核验
CUL-020,SRC-ENS-COMP,PLAY,开放世界式景区地图,ARRIVAL|ROUTE,地标/区域/路径/交通/故事分层,ALL,DESIGN_DIRECTION,视觉游戏化；不可替代真实导航/关闭/回程权威
CUL-021,SRC-ENS-COMP,PLAY,分支剧情/选择式探索,GENERAL,选择想看的故事,YOUTH|ADULT,DESIGN_RESERVOIR,只能选择内容深度；不得选择性隐藏安全信息
CUL-022,SRC-ENS-COMP,PLAY,儿童冒险/轻解谜,SAFE_SCENES,找形状/找声音/亲子合作,FAMILY_CHILD,DESIGN_RESERVOIR,禁止在R13等高注意力/风险位置使用
CUL-023,SRC-ENS-COMP,DIGITAL,AR/VR景区内容,APPENDIX,可选叠加内容,YOUTH|ADULT,HOLD,当前E冻结；无GPS/AR依赖
CUL-024,SRC-ENS-CHAR,LOCAL_STORY,廪君角色研究,R12|GENERAL,故事人物卡/YOUTH深读,YOUTH|ADULT,DESIGN_RESERVOIR,角色化不能覆盖地方叙事边界
CUL-025,SRC-ENS-CHAR,LOCAL_STORY,盐水女神角色研究,R09|GENERAL,故事人物卡/声音,YOUTH|ADULT,DESIGN_RESERVOIR,角色化不能覆盖地方叙事边界
CUL-026,SRC-ENS-CHAR,CRAFT,竹编/坝漆/银饰/造纸/织锦角色研究,EXIT_MEMORY,工艺卡/材料触摸/文创线索,FAMILY|YOUTH|ADULT,DESIGN_RESERVOIR,进入实体产品前需材料/工艺与权利验证
CUL-027,SRC-ENS-GIFTS,MEMORY,旅札便签/纸质记录,EXIT_MEMORY,记录今天的路线与片段,ALL,DESIGN_RESERVOIR,优先于高成本新硬件
CUL-028,SRC-ENS-GIFTS,MEMORY,印章笔/个人石书,EXIT_MEMORY,可选盖印/个人收藏,FAMILY|YOUTH|ADULT,DESIGN_RESERVOIR,不做13/13完成门槛
CUL-029,SRC-ENS-GIFTS,PRODUCT,可佩戴/可闻/可写的情感信物,EXIT_MEMORY,礼赠/日用记忆,YOUTH|ADULT,PROCESS_RESERVOIR,价格/制造/销量/材料功效不继承为C04事实
CUL-030,USER-DIRECTION,TRADITIONAL_LANDSCAPE_VIEW,风水与传统山水观,REGIONAL|SCENE_READING,山势/水口/方位的文化解释,ADULT|OLDER,RESEARCH_OPEN,只作文化史/环境观研究；不得当作科学选址/地质/安全依据
CUL-031,USER-DIRECTION,WELLBEING,身体节奏与自我关照,ROUTE|RECOVER|RETURN,休息/饮水/安静观看/疲劳降级,ALL,DESIGN_DIRECTION,不作保健治疗或硒健康功效宣称
CUL-032,SRC-ENS-COMP|USER-DIRECTION,FAMILY_IP,清江探索角色/内容家族,GENERAL,地图引导/故事陪伴,FAMILY_CHILD|YOUTH,DESIGN_RESERVOIR,IP不取得路线主权；避免强制任务化
