asset_id,domain,name,concept_state,presentation_state,narrative_axes,primary_value,current_action
R10,THIRTEEN_IMPRINTS,绝壁天书,KEEP,CURRENTIZE,N3,texture_trace_observation,no_invented_geology
R11,THIRTEEN_IMPRINTS,金石为开,KEEP,CURRENTIZE,N3,fissure_body_scale_question,avoid_pseudoscience
R12,THIRTEEN_IMPRINTS,廪君峰,KEEP,MAIN_CANDIDATE,N1|N3,cultural_text_landscape,site_equivalence_prohibited
R13,THIRTEEN_IMPRINTS,一线天,KEEP,MAIN,N2|N3,body_aperture_closure,safety_return_first
D01,DIGITAL,C04_Digital_UI_Detail_System_v0.6,KEEP_CURRENTIZE,REDRAW_MAIN_CANDIDATE,N2|N3,class_game_UI_system,remove_completion_score_keep_exploration
D02,DIGITAL,QJE_Portable_Prototype,KEEP,SUPPORT_TO_MAIN_AFTER_VISUAL,N2|N3,offline_runnable_system,currentize_visual_quality
D03,DIGITAL,TODAY,KEEP,MAIN_CANDIDATE,N2,visit_service_entry,no_pseudo_live
D04,DIGITAL,ROUTE_Game_Map,KEEP_UPGRADE,MAIN_REQUIRED,N2|N3,path_choice_nearby_return,real_branching_network_no_task_gate
D05,DIGITAL,READ_REVEAL,KEEP,MAIN_CANDIDATE,N1|N3,observe_compare_explain,scene_specific_not_card_stack
D06,DIGITAL,MY_BOOK,KEEP_UPGRADE,MAIN_REQUIRED,N3,personal_route_photo_read_action_memory,no_13of13
D07,DIGITAL,SERVICE_RETURN,KEEP,MAIN_CANDIDATE,N2,route_service_return,design_not_admin_panel
D08,DIGITAL,Digital_Silence_Offline,KEEP,SUPPORT,N2|N3,phone_can_withdraw,show_as_behavior_not_chapter
D09,DIGITAL,Reality_Delivery_State_Model,KEEP,PROCESS_SUPPORT,N2,fail_closed_states,do_not_dominate_public_story
D10,DIGITAL,Finale_Optional_Share,KEEP_REVISE_UI,MAIN_VIA_MEMORY,N3,personal_trip_artifact,remove_count_score
P01,PHYSICAL,步步生光,KEEP_PRIMARY_CANDIDATE,MAIN_REQUIRED,N3,body_trace_fading_feedback,scene_fit_and_field_open_technical
P02,PHYSICAL,栏杆式可拆卸倚靠休息板,KEEP,MAIN_SUPPORT,N2|N3,lean_half_sit_recovery,body_scale_material_attachment
P03,PHYSICAL,山体流体休憩装置_v1,COMPETE_CONDITIONAL,REDRAW_SUPPORT,N3,long_rest_landscape_body,resolve_glare_slip_maintenance
P04,PHYSICAL,山体流体休憩装置_v2,COMPETE_WITH_P03,PROCESS_SUPPORT,N3,form_iteration,do_not_present_as_second_final
P05,PHYSICAL,清风吟,KEEP_REDUCE,MAIN_SUPPORT_CANDIDATE,N1|N3,wind_light_sound_writing,reduce_tourism_cliche
P06,TECHNICAL,F01_technical_descendant,KEEP_TECH_PROOF,SUPPORT_TECH_MAIN,N2|N3,leaning_recovery_detail,do_not_replace_full_physical_universe
P07,TECHNICAL,F02_optional_reading,KEEP_CONDITIONAL,SUPPORT,N1|N3,optional_interpretation,avoid_signage_proliferation
P08,TECHNICAL,F03_return_recognition,KEEP_CONDITIONAL,SUPPORT_TO_MAIN,N2,return_clarity,field_placement_open
P09,PHYSICAL_PAPER,F04_map_travel_note,KEEP,MAIN_CANDIDATE,N2|N3,no_phone_route_memory,merge_with_journal_and_game_map
M01,MEMORY,清江旅记,KEEP_MEMORY_HERO,MAIN_REQUIRED,N1|N2|N3,write_draw_route_trace,no_task_book
M02,MEMORY_DIGITAL,我的石书,KEEP_DIGITAL_MEMORY_HERO,MAIN_REQUIRED,N3,personal_memory_and_repeat_visit,connect_app_physical_no_score
M03,MEMORY_PRODUCT,清江一线,KEEP_OPTIONAL,REDRAW_SUPPORT,N1|N3,carry_one_line_relation,follow_original_product_authority
M04,MEMORY_PRODUCT,清江雾气,KEEP_OPTIONAL,REDRAW_SUPPORT,N1|N3,sensory_fog_humidity_memory,no_health_claim
M05,MEMORY_PRODUCT,清风吟简易礼装,KEEP_OPTIONAL,SUPPORT,N1|N3,wind_memory_extension,distinct_from_spatial_installation
M06,IP,红花峰崽,KEEP_OPTIONAL_FAMILY,MAIN_IN_FAMILY_SCENE,N1|N3,child_family_observation,not_mission_master
A01,AUDIENCE,A1_A6_Experience_Modes,KEEP,SUPPORT_TO_SCENE_MAIN,N2|N3,different_depth_same_journey,show_actions_not_persona_cards
A02,INTERACTION,Family_Observation_Verbs,KEEP,MAIN_IN_SCENES,N3,look_compare_trace_listen_wait_frame_step_remember,use_as_mechanics
A03,ACCESSIBILITY,Accessibility_Overlays,KEEP,SUPPORT_SERVICE_PROOF,N2|N3,visual_audio_body_cognitive,translate_into_real_decisions
A04,CONTEXT,Time_Fatigue_Network_Weather_Overlays,KEEP,PROCESS_SCENE_BEHAVIOR,N2|N3,context_changes_content_and_route,not_personas
T01,SPATIAL,C22_Masterplan_Route,KEEP,SUPPORT_TECH_MAIN,N2,relational_network_basis,not_survey
T02,TECHNICAL,C23_v4_12_Sheets,KEEP_VALIDATION_SUBSET,SUPPORT_TECH_MAIN,N2|N3,physical_risk_capacity_material_proof,subset_not_whole_project
T03,MODEL,Hero_Clay,KEEP_IF_CLEARER,SUPPORT_MAIN_CANDIDATE,N2,overall_spatial_relation,real_landscape_outranks_model
T04,MODEL,SEC_A,KEEP,MAIN_TECH_CANDIDATE,N2,primary_section_relation,pair_with_real_landscape
T05,MODEL,Overall_Axon,KEEP,SUPPORT,N2,whole_relation_overview,no_grey_model_takeover
T06,MODEL,R06_Node,KEEP,MAIN_TECH_WITH_R06,N3,scale_constructability,pair_feeling_and_how_it_works
V01,VISUAL,QJD_Hero,KEEP,MAIN,N2,qingjiang_first_read,protect_specificity
V02,VISUAL,Evidence_to_Design_Network,KEEP,SUPPORT_MAIN,N2,macro_relation_evidence,avoid_report_dominance
V03,VISUAL,R06_Two_Stage,KEEP,MAIN,N3,valley_view_to_spatial_explanation,use_concrete_public_language
V04,VISUAL,R13_Four_Frame,KEEP_WITH_LABEL,MAIN_SUPPORT,N3,closure_body_landscape,no_invented_site_claim
V05,VISUAL,Return_UNKNOWN_CLOSED,KEEP_VISUAL_UPGRADE,MAIN_CANDIDATE,N2,return_state_visual,raise_to_hero_quality
V06,MOTION,D_F_86s_Lineage,KEEP_STRUCTURE_REEDIT,REVISE,N1|N2|N3,cross_media_journey,restore_app_physical_memory
F01,DELIVERY,REV04_Web,KEEP_PROVENANCE_REBUILD,REDRAW,N1|N2|N3,current_web_carrier,consume_full_atlas
F02,DELIVERY,REV04_A1_Boards,KEEP_PROVENANCE_REEDIT,REVISE,N1|N2|N3,current_board_carrier,restore_full_design_visibility
F03,DELIVERY,REV04_Film,KEEP_PROVENANCE_REEDIT,REVISE,N1|N2|N3,current_film_carrier,show_full_design_universe
S01,SOURCE,恩施原始资料包,CONTENT_SOURCE,PROCESS,N1|N2|N3,original_brief_culture_game_ip_product,does_not_override_field_authority
S02,SOURCE,Culture_Content_Library,CURRENT_SUPPORT,PROCESS,N1,culture_content_seed,convert_to_scenes
S03,SOURCE,Scene_Audience_Matrix,CURRENT_SUPPORT,PROCESS,N3,scene_audience_working_data,do_not_present_as_final_design
S04,SOURCE,A_Evidence_Register,CURRENT_SUPPORT,PROCESS,N1|N2,reality_claim_boundary,source_grounded_only
