candidate_record_id,authoring_candidate_id,title_or_scope,chapter,provenance,id_collision_state,mapping_action,mapping_state,current_frontier_note,n_series_id,does_not_prove
CH12-P12@v0.1-expansion,CH12-P12,,CH12,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Preserve candidate content; CH12 v0.4 A01–A09 is current scene framing,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH12-P13@v0.1-expansion,CH12-P13,,CH12,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Preserve candidate content; CH12 v0.4 A01–A09 is current scene framing,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH12-P14@v0.1-expansion,CH12-P14,,CH12,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Preserve candidate content; CH12 v0.4 A01–A09 is current scene framing,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P08@v0.1-expansion,CH13-P08,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P09@v0.1-expansion,CH13-P09,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P10@v0.1-expansion,CH13-P10,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P11@v0.1-expansion,CH13-P11,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P12@v0.1-expansion,CH13-P12,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P13@v0.1-expansion,CH13-P13,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P14@v0.1-expansion,CH13-P14,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH13-P15@v0.1-expansion,CH13-P15,,CH13,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Physical candidate; no fifth Physical family,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P09@v0.1-expansion,CH14-P09,Brand Architecture｜清江石书/十三印/我的石书/清江旅记主从关系,CH14,v0.1 expansion,ID_COLLISION / SEMANTIC_OVERLAP_REVIEW,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P10@v0.1-expansion,CH14-P10,Naming System｜R01–R13、产品、内容、场景命名规则,CH14,v0.1 expansion,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P11@v0.1-expansion,CH14-P11,Editorial System｜Web、展板、册子的网格与视觉节奏,CH14,v0.1 expansion,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P12@v0.1-expansion,CH14-P12,Motion Identity｜Reveal / Withdraw / Trace / Return,CH14,v0.1 expansion,NO_ID_COLLISION,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P13@v0.1-expansion,CH14-P13,Photography Direction｜真实清江图像选择、尺度、人物与禁区,CH14,v0.1 expansion,NO_ID_COLLISION,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P14@v0.1-expansion,CH14-P14,Illustration / Diagram Direction｜分析图、地图、技术图统一但不模板化,CH14,v0.1 expansion,NO_ID_COLLISION,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P15@v0.1-expansion,CH14-P15,Material / Print｜纸张、压印、墨、透明层、折页,CH14,v0.1 expansion,NO_ID_COLLISION,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH04-P07@v0.2-enrichment,CH04-P07,低数字熟悉度 / 无手机 / 陪同使用,CH04,v0.2 enrichment,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH05-P05@v0.2-enrichment,CH05-P05,失败、绕行、求助与退出旅程,CH05,v0.2 enrichment,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH09-P06@v0.2-enrichment,CH09-P06,Service Blueprint｜游客看不见的后台怎样支撑Return,CH09,v0.2 enrichment,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH11-P09@v0.2-enrichment,CH11-P09,探索行为语法，不用特效代替状态,CH11,v0.2 enrichment,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH11-P10@v0.2-enrichment,CH11-P10,交互状态与可见可恢复性,CH11,v0.2 enrichment,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P09@v0.2-enrichment,CH14-P09,Brand Architecture｜谁背书谁，谁是体验身份,CH14,v0.2 enrichment,ID_COLLISION / SEMANTIC_OVERLAP_REVIEW,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P10@v0.2-enrichment,CH14-P10,Brand Governance｜品牌不是交完VI就结束,CH14,v0.2 enrichment,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH14-P11@v0.2-enrichment,CH14-P11,Small Mark Optical Size｜小尺寸不是机械缩放,CH14,v0.2 enrichment,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,NEW_CANDIDATE,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Brand candidate; multi-surface mapping allowed; P OWNER != ONE PAGE,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH16-P08@v0.2-enrichment,CH16-P08,Dimension-to-object Binding｜尺寸必须指向真实测量区间,CH16,v0.2 enrichment,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH17-P07@v0.2-enrichment,CH17-P07,Evidence-bound Figure Caption｜图注必须跟证明范围一起出现,CH17,v0.2 enrichment,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH18-P07@v0.2-enrichment,CH18-P07,Mixed-media Evidence Role｜不同媒介各自证明什么,CH18,v0.2 enrichment,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
