object_id,system,name,current_merged_pointer,concept_state,presentation_state,truth_state,latest_candidate,owner_next_delta,downstream_note
P08,TECHNICAL,F03_return_recognition,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_CONDITIONAL,SUPPORT_TO_MAIN,FIELD_PLACEMENT_OPEN,,Return/Service,Recognition support
P09,PHYSICAL_PAPER,F04_map_travel_note,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_CANDIDATE,PROTOTYPE_FIELD_OPEN,,Physical/Memory,Bridge map + journal
M01,MEMORY,清江旅记,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_MEMORY_HERO,MAIN_REQUIRED,PROTOTYPE_NOT_PRINT_PRODUCTION,PR#143|PR#153,Memory/IP,Physical memory hero
M02,MEMORY_DIGITAL,我的石书,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_DIGITAL_MEMORY_HERO,MAIN_REQUIRED,NO_LIVE_SYNC_CLAIM,PR#143|PR#153|PR#162,USER_OWNED_NEXT,App-side next edit user-owned
M03,MEMORY_PRODUCT,清江一线,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_OPTIONAL,REDRAW_SUPPORT,PRODUCT_OPEN,,Memory/IP,Original product authority
M04,MEMORY_PRODUCT,清江雾气,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_OPTIONAL,REDRAW_SUPPORT,NO_HEALTH_CLAIM,,Memory/IP,Sensory memory
M05,MEMORY_PRODUCT,清风吟简易礼装,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_OPTIONAL,SUPPORT,PRODUCT_OPEN,PR#152,Memory/IP,Distinct from spatial installation
M06,IP,红花峰崽,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_OPTIONAL_FAMILY,MAIN_IN_FAMILY_SCENE,CONTENT_OPEN,,Memory/IP,Not mission master
A01,AUDIENCE,A1_A6_Experience_Modes,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT_TO_SCENE_MAIN,PROCESS_NOT_PERSONA,PR#155,Audience,Actions not persona cards
A02,INTERACTION,Family_Observation_Verbs,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_IN_SCENES,DESIGN_MECHANICS,,Scene/Audience,LOOK COMPARE TRACE LISTEN WAIT FRAME STEP REMEMBER
A03,ACCESSIBILITY,Accessibility_Overlays,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT_SERVICE_PROOF,FIELD_ACCESSIBILITY_OPEN,,Audience/Service,Translate to real decisions
A04,CONTEXT,Time_Fatigue_Network_Weather_Overlays,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,PROCESS_SCENE_BEHAVIOR,NO_PSEUDO_LIVE,,Scene behavior,Context not persona
T01,SPATIAL,C22_Masterplan_Route,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT_TECH_MAIN,RELATIONAL_NOT_SURVEY,,Technical,Spatial proof only
T02,TECHNICAL,C23_v4_12_Sheets,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_VALIDATION_SUBSET,SUPPORT_TECH_MAIN,VALIDATION_SUBSET_FIELD_OPEN,,Technical,Not whole project
T03,MODEL,Hero_Clay,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_IF_CLEARER,SUPPORT_MAIN_CANDIDATE,CONCEPT_MODEL,,Model,Real landscape outranks
T04,MODEL,SEC_A,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_TECH_CANDIDATE,CONCEPT_SECTION_NOT_FIELD,,Model/Technical,Strongest section candidate
T05,MODEL,Overall_Axon,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT,CONCEPT_MODEL,,Model,No grey-model takeover
T06,MODEL,R06_Node,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_TECH_WITH_R06,CONCEPT_NTS_FIELD_OPEN,,Model/Technical,Pair feeling + how it works
V01,VISUAL,QJD_Hero,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN,SOURCE_GROUNDED_REMOTE,,Visual,Protect specificity
V02,VISUAL,Evidence_to_Design_Network,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT_MAIN,EVIDENCE_RELATION,,Visual,Do not dominate project
V03,VISUAL,R06_Two_Stage,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN,SOURCE_GROUNDED_FIELD_OPEN,PR#145,Visual,Landscape then explanation
V04,VISUAL,R13_Four_Frame,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_WITH_LABEL,MAIN_SUPPORT,REMOTE_CONCEPT_NOT_SITE_PHOTO,PR#145,Visual,Truth label required
V05,VISUAL,Return_UNKNOWN_CLOSED,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_VISUAL_UPGRADE,MAIN_CANDIDATE,DEMO_STATE_NOT_LIVE,,Visual/Return,Raise visual maturity
V06,MOTION,D_F_86s_Lineage,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_STRUCTURE_REEDIT,REVISE,REMOTE_RESEARCH_DISPLAY,PR#164,Motion,Downstream edit does not redefine source
N01,NARRATIVE,Three_Axis_Reframe,C04_NARRATIVE_REFRAME_3AXIS_v1.0,KEEP,CURRENT_EDITORIAL,REMOTE_RESEARCH,PR#128,Narrative,Culture visual candidate separate
N02,NARRATIVE,Public_Narrative_v1.8,C04-B_PUBLIC-NARRATIVE-AUTHORITY_v1.8,KEEP,CURRENT_EDITORIAL,REMOTE_RESEARCH,PR#128,Narrative,Concrete visitor language
F01,DELIVERY,REV04_Web,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_PROVENANCE_REBUILD,REDRAW,DOWNSTREAM_CARRIER,PR#127|PR#163|PR#164,SEPARATE_WEB_LANE,Does not define project
F02,DELIVERY,REV04_A1_Boards,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_PROVENANCE_REEDIT,REVISE,DOWNSTREAM_CARRIER,PR#114,F/Delivery,Does not define project
F03,DELIVERY,REV04_Film,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_PROVENANCE_REEDIT,REVISE,DOWNSTREAM_CARRIER,PR#114|PR#164,Motion/Delivery,Does not define project
S01,SOURCE,恩施原始资料包,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,CONTENT_SOURCE,PROCESS,SOURCE_NOT_FIELD_AUTHORITY,,Evidence/Source,Does not override field authority
S02,SOURCE,Culture_Content_Library,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,CURRENT_SUPPORT,PROCESS,SOURCE_SUPPORT,PR#128,Narrative/Content,Convert to scenes
S03,SOURCE,Scene_Audience_Matrix,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,CURRENT_SUPPORT,PROCESS,WORKING_DATA,PR#155,Audience,Not final design
S04,SOURCE,A_Evidence_Register,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,CURRENT_SUPPORT,PROCESS,EVIDENCE_BOUNDARY,,Evidence,Source-grounded only
