branch,sha,committed_at,subject,classification,protected_reason
agent/oleander-notion-d06-academic-20260912,760e681ecb174f19360fa4b6f6eeff5aadcd1b14,2026-09-12 14:13:23 +0800,docs(knowledge): record D06 academic migration,SAFE_DELETE_MERGED_REF,
agent/oleander-project-flow-v0-3,091a986707a0b50e53ac3e76391c7e5510e536fd,2026-08-11 23:53:37 +0800,Rebase PAP-safe Canonical Project Flow v0.3 onto current main,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-final,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-finalized,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-hardening,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-hardening-final,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-hardening-final-2,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-hardening-live,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-live,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-schema-enforcement,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/project-control-plane-v0-3-step2,e027e8dcf8a2455c5aef778dc2826befc490a024,2026-08-13 09:40:03 +0800,Close Automotive v0.11 canonical cross-system receipt,SAFE_DELETE_MERGED_REF,
agent/reference-source-router-capability-20260909,d0931c47ad0344ba717b76876e3dfada99b4ffbd,2026-09-09 10:22:39 +0800,fix(research): align aggregate capability contract,SAFE_DELETE_MERGED_REF,
agent/shared-image-processing-operator-layer,78575579d4aa95bd45780b69780a61e720aeb531,2026-08-18 11:59:41 +0800,OLEANDER visual layers: route image-processing operator standard,SAFE_DELETE_MERGED_REF,
agent/skill-runtime-closure-v1-2,c9e951f9fca5c8e14ddc89de376cc0c3544d2e29,2026-08-18 14:05:57 +0800,Allow empty derived-format lists in execution receipts,SAFE_DELETE_MERGED_REF,
agent/skill-runtime-drift-closure-v1-2,06f6f7bad6e0c2e2620af33f36c3bd1f0af4b3ac,2026-08-18 15:53:11 +0800,Use explicit no-blocker sentinel in closure receipt,SAFE_DELETE_MERGED_REF,
agent/skill-visual-effect-layers,13592af0022c8985c4dc8f85c7f1da2d4ac07070,2026-08-18 11:36:48 +0800,Route visual outputs through existing skill bindings,SAFE_DELETE_MERGED_REF,
agent/sticky-constraints-full-flow-drift-closure,16e2379e8155e2ff941b212628791dddd310244f,2026-08-18 16:13:07 +0800,Update resolver live drift mapping for sticky-constraint enforcement,SAFE_DELETE_MERGED_REF,
agent/sticky-constraints-full-flow-receipt-close,561bd74015b952fa942bbefb31f60b88cf86f682,2026-08-18 16:15:08 +0800,Close sticky-constraint full-flow execution receipt after live drift readback,SAFE_DELETE_MERGED_REF,
agent/sticky-constraints-full-flow-v1-3,cfdad8e10eb36355b607f9a9cf9ee1f64ed09b9b,2026-08-18 16:09:58 +0800,Preserve canonical receipt token in lock validator,SAFE_DELETE_MERGED_REF,
agent/sync-oleander-skills,10f7b54e4c383f6578f3c988294f16b9cf0ef813,2026-07-25 09:28:28 +0800,Add Daylily brand case study,SAFE_DELETE_MERGED_REF,
agent/timer-light-basin-v3-3-photography,d1b28b8d5b52f9f8a22c77ecf5f1a418d9e3bbf5,2026-08-07 16:07:37 +0800,docs(render): update practice README for v3.3 photography pipeline,SAFE_DELETE_MERGED_REF,
agent/timer-light-basin-v3-web,2536142253b4cae36fd54cb419d96325954ec333,2026-08-07 14:35:07 +0800,Add Timer Light Basin v3 web interactions,SAFE_DELETE_MERGED_REF,
agent/timer-v33-authority-gate-fix,36ef08a988c9ae636db510295f24597622a91b8d,2026-08-10 16:18:40 +0800,Merge latest main into Timer v3.3 authority gate fix,SAFE_DELETE_MERGED_REF,
agent/timer-v33-staging-gate-mainline,f899707d98a3aa0bffb04ae47c63790e8d0733af,2026-08-10 13:07:32 +0800,fix: harden Timer v3.3 staging gates,SAFE_DELETE_MERGED_REF,
automation/c04-b-lane-receipt-v0-1,6088584bc7a3c91b99feebbb2228ec7a58b426dd,2026-08-14 23:04:22 +0800,C04 B: add evidence-bound narrative/content lane receipt v0.1,SAFE_DELETE_MERGED_REF,
automation/c04-bexp-freshness-readback-20260815-1101,cb7cfb2107e4eae7a4f38e6530477108f11ac6d1,2026-08-15 11:03:38 +0800,C04: add B experience and D/C23 freshness checkpoint,SAFE_DELETE_MERGED_REF,
automation/c04-c-owner-readback-v2-1,90b2a13dc32e7e49acdf06c35031a83c7e3931e3,2026-08-14 23:23:12 +0800,C04 C20: owner revision readback after B/D/E/F closure,SAFE_DELETE_MERGED_REF,
automation/c04-d-state-contract-v0-1,f8cfb70abd0f08078fcbf87003e89e4afb8eac6d,2026-08-14 23:10:16 +0800,C04 D: confirm C19 state and evidence styling contract,SAFE_DELETE_MERGED_REF,
automation/c04-e-state-off-contract-v0-1,4f878ec4ef5011a8bd4bf5de07fdc6170ffa058c,2026-08-14 23:12:45 +0800,C04 E: confirm degraded/offline and Digital-OFF contract,SAFE_DELETE_MERGED_REF,
automation/c04-f-main-readback-close-v1,cff4e27ecde0f1145764c9fd3c3b89d5a05cd5d4,2026-08-14 23:21:35 +0800,C04 F: validate post-merge readback closure,SAFE_DELETE_MERGED_REF,
c01/node-prototype-v0.1-a-rebase-20260811,1a03de0ced09329adb775763bb287ac744b60f22,2026-08-11 23:01:43 +0800,Rebase C01 node prototype v0.1-A onto current main,SAFE_DELETE_MERGED_REF,
c01/prototype-v01-bcd-rebase-20260811,a359b214a325f54876b064c7d3e612221122d46f,2026-08-11 23:29:50 +0800,Rebase C01 v0.1-B/C/D records onto v1.19 current main,SAFE_DELETE_MERGED_REF,
c04-ch14-p01-p02-lock,7d7a1f8e6ec848014d9134b376720288d3f92c73,2026-08-19 08:45:07 +0800,C04 CH14 P03–P07｜lock current brand system pages,SAFE_DELETE_MERGED_REF,
c04-j04-decision-priority-v11,6bf7cce53b2479e64d01a4b3ffdae05010e27f05,2026-09-09 18:03:25 +0800,feat: execute bounded CAD direct face edit through existing sidecar,SAFE_DELETE_MERGED_REF,
c04-p02-body-boundary-v10,1299ef06aa72bd9aa0b80e15a1c02be908998ad4,2026-09-09 19:56:20 +0800,P9: run bounded runtime interleaving soak,SAFE_DELETE_MERGED_REF,
c04-p02-body-interface-v14,3d72a1a5e6f66da158f1fcd5b7271fa79590c332,2026-09-10 00:30:41 +0800,Repair ordinary-Chat visual production wiring,SAFE_DELETE_MERGED_REF,
c04-qingfengyin-wait-wind-v11,fbbe074bce7a3c73b2505e8541aa74b7b25d7748,2026-09-09 16:08:30 +0800,Validate P3 continuation execution cycle,SAFE_DELETE_MERGED_REF,
c04-r06-lineweight-v11,2992ef8f8449f1f95ae46409687466a05895f3e8,2026-09-09 15:19:58 +0800,Compile known-failure recurrence and surface reliability decisions,SAFE_DELETE_MERGED_REF,
c04/a-remote-evidence-analysis-20260815,b71c422373db6dbaec2ce0d5a0349a416f7337ac,2026-08-15 12:38:56 +0800,C04 A: add visual design crit receipt,SAFE_DELETE_MERGED_REF,
c04/ch07-p01-image-reservation-v04-20260819,6a90472f2c83233561e20a91b90c5365b7bf564c,2026-08-19 23:47:58 +0800,C04 CH07: document P01 image reservation,SAFE_DELETE_MERGED_REF,
c04/ch07-p02-p03-image-reservation-v04-20260819,cdaeda6d82d704a9487e34894d0b31faa41a22e9,2026-08-19 23:54:40 +0800,C04 CH07: document P02/P03 image reservations,SAFE_DELETE_MERGED_REF,
c04/ch09-p01-ar12-redo-v1-2-20260819,04604b3a92c6fffab4365097c3dd65bdf7c05581,2026-08-19 15:20:06 +0800,revert accidental placeholder file,SAFE_DELETE_MERGED_REF,
c04/model-fluid-rest-v1-1-20260817,e4a12c9fcf8a643dd071d8ef86c2e3edbbcc2a0e,2026-08-16 19:34:14 +0800,mark independent design verdict policy active,SAFE_DELETE_MERGED_REF,
c04/original-design-integration-v1-20260819,b20578e34cf48d00c2531eac4c12dda3ee1ca7f4,2026-08-19 09:46:12 +0800,C04: point organization current to v1.2.2 integration,SAFE_DELETE_MERGED_REF,
c04/original-design-source-reconciliation-20260819,036085c47341ffb35337db0c50b9d10bd36793c7,2026-08-19 09:36:42 +0800,C04: advance organization pointer to v1.2.1 source precedence correction,SAFE_DELETE_MERGED_REF,
c04/permanent-design-invariants-20260816,184291049c4864a3cbee1e8ac4a305169423367b,2026-08-16 18:11:11 +0800,C04: add machine-readable Design Invariants,SAFE_DELETE_MERGED_REF,
c04/project-organization-20260817,d74de8ea38b218e246d8f9cc1b58ba35e4cf9223,2026-08-17 10:40:46 +0800,C04: reconcile open PR lineage with later GitHub annotations,SAFE_DELETE_MERGED_REF,
c04/project-organization-v1-2-20260819,7845bf3414488c2bf99e5754280113bde01124cb,2026-08-19 09:18:52 +0800,C04 organization: add current organization pointer,SAFE_DELETE_MERGED_REF,
c04/qingjiang-project-alignment-20260811,99cd0f3f86dcc1f21cffc11b49e81dda63a81533,2026-08-11 16:52:50 +0800,fix(cocos4): use valid smoke scene uuid,SAFE_DELETE_MERGED_REF,
c04/r05-r06-scene-deepening-v1,2c8542f75b36dd656342b32eed2ff0bcb4af56a2,2026-08-16 15:06:03 +0800,C04 R05/R06: add source receipt,SAFE_DELETE_MERGED_REF,
design/c04-m01-journal-currentization-20260906,6fab0b8da07b31b1fe9cefd0406140f720fe4b71,2026-09-05 23:23:57 +0800,design(c04): repair P02 rail lean-rest relation,SAFE_DELETE_MERGED_REF,
design/c04-p01-body-feedback-repair,6fab0b8da07b31b1fe9cefd0406140f720fe4b71,2026-09-05 23:23:57 +0800,design(c04): repair P02 rail lean-rest relation,SAFE_DELETE_MERGED_REF,
design/c04-p02-relation-repair-20260905,20ff7ff003a7d4e90a025aba6932b7e1029db151,2026-09-05 17:07:38 +0800,governance: align C04 control card with current web head,SAFE_DELETE_MERGED_REF,
docs/github-showcase-readme,06f88a5569eee0013f0632c424d977a377013ece,2026-08-07 17:34:43 +0800,Reframe GitHub as personal design works and research showcase,SAFE_DELETE_MERGED_REF,
feat/oleander-blender-cad-direct-intent-bridge-v01-20260909,96c9ec890deb3c07555a27e058e9571c00fd699f,2026-09-09 10:58:55 +0800,docs(blender): align Current surface with CAD direct request bridge,SAFE_DELETE_MERGED_REF,
feat/oleander-blender-cad-direct-request-hardening-v01-20260909,2e12b1dc86f69f00e26a2ef7b4e084cbb4383959,2026-09-09 11:14:20 +0800,test(blender): bind strict CAD request hardening evidence,SAFE_DELETE_MERGED_REF,
feat/oleander-blender-cad-tangent-move-v01-20260910,ab1deb28c9d3ec6054eb953ce1a4d7de1a488dcd,2026-09-10 17:03:13 +0800,chore(blender): remove transient CAD tangent receipt runner,SAFE_DELETE_MERGED_REF,
feat/oleander-blender-direct-face-move-v01-20260909,401b22e713eaa84038ca52563a8ab134f6cb0106,2026-09-09 10:18:43 +0800,docs(blender): currentize bounded Direct Face interaction,SAFE_DELETE_MERGED_REF,
feat/oleander-blender-direct-tangent-move-v01-20260909,a691dc74f75f032a0a1edd18ceca0553fb1ec329,2026-09-10 00:17:40 +0800,docs(blender): align Direct Face v0.2 current boundary,SAFE_DELETE_MERGED_REF,
feat/oleander-blender-runtime-workbench,b5153d6a69031d0129ae12d778354405b79c1659,2026-09-07 23:52:44 +0800,governance: record merge-ready regression,SAFE_DELETE_MERGED_REF,
fix/oleander-blender-5-2-producer-preflight,ece2c793b0eb727abd466f6dff9dce6953c92b31,2026-09-06 23:53:39 +0800,sync: merge main into Blender 5.2 preflight repair,SAFE_DELETE_MERGED_REF,
fix/oleander-blender-current-alignment-20260909,1be9af3e048fc8bd65cf2a722218c39ff32e8477,2026-09-09 09:27:58 +0800,docs(blender): define shared environment and project profile boundary,SAFE_DELETE_MERGED_REF,
fix/oleander-blender-postmerge-governance-current-20260909,2bd0438b2058c202ae374213f5aace6c3263d00b,2026-09-09 10:05:49 +0800,docs(blender): bind historical governance checker name to Current authority,SAFE_DELETE_MERGED_REF,
governance/c04-control-card-pr353-closure-20260830,b25bea429f9f4b35784d8b7472ceaa56ca3017b2,2026-08-30 02:09:34 +0800,governance: close stale C04 predecessor handoff state,SAFE_DELETE_MERGED_REF,
governance/c04-frontier-readback-20260905-2105,20ff7ff003a7d4e90a025aba6932b7e1029db151,2026-09-05 17:07:38 +0800,governance: align C04 control card with current web head,SAFE_DELETE_MERGED_REF,
